location_key,road_conditions,weather_conditions,track
101,Wet,snow,Route-3
102,Dry,Windy,MX-85
103,dry,Clear,Route-1
104,Dry,windy,Route-2
105,DRY,Clear,Circuito-Interior
106,ICY,Fog,Route-2
107,dry,Snow,Viaducto-Oriental
108,Wet,sunny,MX-85
109,WET,Clear,Route-1
110,DRY,Fog,Autopista-2
111,wet,Rain,Ring-Road
112,Wet,Fog,Ruta-Del-Sol
113,WET,Storm,Ring-Road
114,Icy,Storm,Route-3
115,DRY,clear,Highway-85
116,ICY,cloudy,Route-1
117,Dry,Clear,Autopista-2
118,ICY,snow,Route-2
119,Dry,windy,Viaducto-Oriental
120,ICY,snow,Route-3
121,Wet,rain,Viaducto-Oriental
122,muddy,Windy,Route-1
123,icy,Snow,Route-2
124,WET,sunny,Corredor-Industrial
125,Wet,Cloudy,Carretera-45
126,Icy,Clear,MX-40
127,Muddy,Snow,Periferico-Sur
128,Dry,Snow,Ruta-Del-Sol
129,Wet,Rain,Highway-57
130,icy,Cloudy,Autopista-2
131,Dry,Windy,Route-2
132,WET,Rain,Carretera-45
133,Wet,snow,Ring-Road
134,dry,fog,Route-1
135,ICY,storm,Ruta-Centro
136,Dry,Rain,Highway-85
137,DRY,Snow,Highway-85
138,WET,Windy,Corredor-Industrial
139,Wet,Rain,Ring-Road
140,dry,windy,Highway-85
141,Dry,clear,Ring-Road
142,WET,Rain,Periferico-Sur
143,dry,snow,Route-3
144,icy,Clear,Highway-85
145,Wet,fog,Circuito-Interior
146,Dry,Cloudy,Highway-85
147,wet,cloudy,Route-2
148,icy,fog,Autopista-2
149,ICY,sunny,Route-1
150,wet,Fog,Ring-Road
151,WET,Cloudy,Route-2
152,wet,windy,Bypass-Norte
153,dry,Cloudy,Periferico-Sur
154,DRY,sunny,Carretera-45
155,Icy,sunny,Circuito-Interior
156,Wet,Clear,Autopista-1
157,dry,windy,Circuito-Interior
158,Dry,Storm,Route-2
159,Dry,cloudy,Bypass-Norte
160,Muddy,snow,Highway-57
161,DRY,snow,Circuito-Interior
162,Icy,Windy,MX-85
163,icy,sunny,Route-2
164,ICY,sunny,Periferico-Sur
165,ICY,Sunny,Ruta-Del-Sol
166,muddy,fog,Route-3
167,icy,clear,Carretera-45
168,WET,Clear,Route-3
169,DRY,Clear,Autopista-2
170,DRY,Cloudy,Route-3
171,Muddy,Storm,Route-1
172,wet,sunny,MX-85
173,WET,Storm,Route-2
174,Dry,Fog,Route-2
175,dry,cloudy,Viaducto-Oriental
176,Wet,Storm,MX-85
177,ICY,rain,Carretera-45
178,Dry,rain,Route-1
179,icy,Sunny,Corredor-Industrial
180,dry,rain,Highway-85
181,muddy,rain,Ruta-Litoral
182,dry,clear,Periferico-Sur
183,Muddy,clear,Autopista-2
184,DRY,clear,Ruta-Litoral
185,Icy,Windy,Ruta-Del-Sol
186,WET,Sunny,Autopista-1
187,wet,clear,Route-3
188,DRY,windy,Route-2
189,DRY,Fog,Autopista-1
190,DRY,Sunny,Highway-57
191,Icy,cloudy,Carretera-45
192,Wet,Windy,Ruta-Centro
193,icy,Sunny,Carretera-45
194,Muddy,sunny,Ruta-Del-Sol
195,Wet,Sunny,Highway-85
196,ICY,fog,Route-3
197,dry,Storm,Corredor-Industrial
198,Icy,fog,Ruta-Litoral
199,WET,Snow,Ruta-Centro
200,Dry,Fog,Highway-57
201,Dry,rain,Ruta-Del-Sol
202,Dry,Windy,Route-1
203,wet,windy,Circuito-Interior
204,DRY,cloudy,Ruta-Centro
205,DRY,sunny,MX-40
206,DRY,Storm,Carretera-45
207,Wet,storm,Highway-57
208,wet,rain,Carretera-45
209,icy,sunny,Autopista-1
210,muddy,Fog,Circuito-Interior
211,Muddy,storm,Ruta-Del-Sol
212,Dry,snow,Highway-85
213,Wet,cloudy,Route-2
214,Wet,sunny,Route-3
215,Dry,Windy,Ruta-Del-Sol
216,WET,windy,Route-1
217,Muddy,windy,Ruta-Litoral
218,WET,Fog,MX-85
219,muddy,sunny,Carretera-45
220,WET,sunny,Ruta-Del-Sol
221,Wet,fog,Carretera-45
222,wet,Clear,Highway-85
223,Dry,Sunny,Highway-57
224,Dry,storm,MX-85
225,muddy,Snow,Circuito-Interior
226,wet,Storm,Bypass-Norte
227,Muddy,fog,Viaducto-Oriental
228,dry,Snow,Viaducto-Oriental
229,ICY,Clear,MX-85
230,ICY,Clear,MX-85
231,Wet,Sunny,Route-1
232,Muddy,fog,Periferico-Sur
233,muddy,sunny,Ruta-Del-Sol
234,wet,Clear,Highway-85
235,Muddy,clear,Carretera-45
236,Dry,Cloudy,MX-85
237,icy,Snow,Highway-57
238,dry,Fog,Bypass-Norte
239,muddy,storm,Autopista-1
240,Wet,rain,Viaducto-Oriental
241,icy,Rain,Bypass-Norte
242,Icy,Clear,Highway-85
243,Dry,Fog,Route-1
244,wet,Fog,Ruta-Del-Sol
245,Muddy,Storm,Corredor-Industrial
246,Muddy,snow,Circuito-Interior
247,ICY,storm,Corredor-Industrial
248,Dry,snow,Ruta-Del-Sol
249,Muddy,Windy,Route-1
250,wet,Clear,MX-85
251,muddy,storm,Ruta-Litoral
252,Muddy,sunny,Highway-57
253,WET,clear,Ring-Road
254,DRY,sunny,MX-40
255,Muddy,Rain,Autopista-1
256,ICY,storm,Corredor-Industrial
257,WET,Storm,MX-85
258,muddy,Snow,Periferico-Sur
259,dry,Fog,Route-2
260,muddy,cloudy,Ruta-Del-Sol
261,Wet,Sunny,Periferico-Sur
262,dry,Fog,Autopista-2
263,WET,Cloudy,Ring-Road
264,Muddy,rain,MX-85
265,WET,rain,Ruta-Del-Sol
266,muddy,Cloudy,Periferico-Sur
267,Wet,snow,Periferico-Sur
268,DRY,Rain,Bypass-Norte
269,DRY,Rain,Corredor-Industrial
270,Muddy,cloudy,Autopista-1
271,ICY,snow,Autopista-2
272,wet,sunny,Ruta-Litoral
273,Wet,Snow,Corredor-Industrial
274,DRY,Snow,Highway-85
275,DRY,sunny,Highway-57
276,Wet,Clear,Ring-Road
277,Icy,Cloudy,MX-40
278,dry,sunny,Ring-Road
279,WET,Snow,Route-2
280,wet,fog,Autopista-1
281,Dry,clear,Ruta-Litoral
282,WET,Cloudy,Highway-85
283,WET,fog,Highway-57
284,Muddy,Clear,Ruta-Del-Sol
285,wet,storm,Route-3
286,dry,storm,Corredor-Industrial
287,dry,windy,Autopista-1
288,Icy,Storm,Autopista-1
289,icy,clear,Ruta-Del-Sol
290,DRY,Sunny,Ruta-Centro
291,Icy,Cloudy,Bypass-Norte
292,dry,Cloudy,Carretera-45
293,ICY,Fog,Autopista-1
294,muddy,cloudy,Circuito-Interior
295,Muddy,Rain,Highway-57
296,Muddy,Storm,Viaducto-Oriental
297,wet,clear,Carretera-45
298,Muddy,clear,Route-2
299,Muddy,Clear,Autopista-1
300,Wet,Sunny,Periferico-Sur
301,Muddy,Rain,Carretera-45
302,WET,Storm,MX-85
303,Dry,sunny,Bypass-Norte
304,Wet,windy,Bypass-Norte
305,wet,Windy,MX-85
306,Icy,windy,Route-2
307,DRY,snow,Circuito-Interior
308,muddy,Fog,MX-85
309,Icy,Fog,Route-2
310,Dry,Storm,Route-3
311,dry,Storm,Ruta-Del-Sol
312,WET,clear,Viaducto-Oriental
313,Dry,Storm,Carretera-45
314,ICY,clear,Route-2
315,WET,Cloudy,Viaducto-Oriental
316,ICY,storm,Corredor-Industrial
317,Icy,Clear,Corredor-Industrial
318,Wet,rain,Carretera-45
319,Wet,clear,Corredor-Industrial
320,DRY,sunny,Route-3
321,Dry,Cloudy,MX-85
322,Icy,Clear,Ruta-Del-Sol
323,muddy,storm,MX-85
324,muddy,Clear,Periferico-Sur
325,muddy,sunny,Ring-Road
326,Dry,Snow,Route-2
327,muddy,rain,MX-40
328,muddy,sunny,Ruta-Del-Sol
329,muddy,Sunny,Periferico-Sur
330,wet,clear,Carretera-45
331,Wet,Snow,Highway-57
332,ICY,Rain,Highway-85
333,Wet,clear,Route-2
334,dry,sunny,Bypass-Norte
335,icy,cloudy,Corredor-Industrial
336,muddy,rain,Route-3
337,Muddy,Cloudy,Route-3
338,Muddy,clear,MX-40
339,ICY,windy,Route-3
340,Muddy,Cloudy,Circuito-Interior
341,ICY,Snow,Highway-57
342,Muddy,windy,Corredor-Industrial
343,WET,Windy,Carretera-45
344,Icy,Clear,Highway-57
345,Wet,storm,Viaducto-Oriental
346,Wet,cloudy,Ruta-Del-Sol
347,WET,Cloudy,Ring-Road
348,Dry,sunny,Carretera-45
349,ICY,rain,Autopista-2
350,ICY,Cloudy,Carretera-45
351,muddy,Sunny,Route-2
352,Muddy,Rain,Viaducto-Oriental
353,wet,snow,Circuito-Interior
354,muddy,storm,Highway-57
355,ICY,storm,Highway-57
356,Dry,storm,MX-85
357,Wet,Sunny,Viaducto-Oriental
358,ICY,sunny,Route-3
359,DRY,Sunny,Carretera-45
360,wet,Rain,Highway-85
361,wet,Sunny,Periferico-Sur
362,ICY,fog,MX-85
363,Icy,rain,Bypass-Norte
364,Icy,sunny,Ruta-Litoral
365,Wet,Fog,Viaducto-Oriental
366,WET,rain,Ruta-Centro
367,icy,Storm,Corredor-Industrial
368,ICY,rain,Route-1
369,ICY,Cloudy,Route-3
370,dry,Sunny,MX-40
371,Muddy,Fog,Ring-Road
372,WET,Rain,Autopista-2
373,ICY,Fog,Carretera-45
374,icy,sunny,Viaducto-Oriental
375,WET,cloudy,Highway-85
376,Dry,snow,Route-1
377,ICY,snow,Autopista-2
378,Icy,Sunny,MX-85
379,Dry,fog,Autopista-2
380,Dry,sunny,Periferico-Sur
381,wet,storm,Periferico-Sur
382,ICY,sunny,Viaducto-Oriental
383,Dry,Rain,Autopista-1
384,DRY,Rain,Corredor-Industrial
385,WET,Windy,Corredor-Industrial
386,icy,Storm,Viaducto-Oriental
387,WET,storm,Route-1
388,muddy,sunny,Periferico-Sur
389,Wet,Windy,Ruta-Del-Sol
390,Icy,storm,Circuito-Interior
391,dry,snow,Viaducto-Oriental
392,DRY,snow,Periferico-Sur
393,Muddy,sunny,Autopista-1
394,Wet,rain,Ruta-Del-Sol
395,wet,Storm,Ruta-Centro
396,Muddy,rain,Viaducto-Oriental
397,DRY,rain,Periferico-Sur
398,Wet,windy,Viaducto-Oriental
399,muddy,storm,Autopista-1
400,muddy,Snow,Periferico-Sur
401,Wet,Fog,Corredor-Industrial
402,Icy,Cloudy,Viaducto-Oriental
403,ICY,Storm,Autopista-1
404,WET,sunny,Ring-Road
405,muddy,Storm,Ring-Road
406,Muddy,Windy,Route-1
407,wet,Cloudy,MX-40
408,Icy,snow,Highway-85
409,Muddy,storm,Circuito-Interior
410,muddy,clear,Ruta-Centro
411,DRY,Cloudy,Autopista-1
412,ICY,Sunny,Periferico-Sur
413,ICY,Snow,Autopista-2
414,Icy,rain,Highway-57
415,WET,Clear,Ruta-Del-Sol
416,DRY,sunny,Highway-57
417,Muddy,rain,Route-3
418,muddy,snow,Route-2
419,WET,Clear,Bypass-Norte
420,muddy,Cloudy,Ruta-Litoral
421,muddy,snow,Ring-Road
422,Dry,fog,Route-3
423,wet,sunny,Route-1
424,Dry,Windy,Ruta-Centro
425,Muddy,Snow,Corredor-Industrial
426,icy,windy,Route-3
427,dry,Fog,Autopista-1
428,Wet,Sunny,MX-40
429,wet,Storm,Ruta-Litoral
430,Wet,windy,Circuito-Interior
431,Muddy,windy,Ring-Road
432,DRY,Storm,Autopista-2
433,Wet,Cloudy,MX-40
434,icy,Rain,Corredor-Industrial
435,DRY,storm,Ruta-Del-Sol
436,Dry,fog,MX-85
437,WET,sunny,MX-85
438,ICY,Sunny,Periferico-Sur
439,muddy,Cloudy,Circuito-Interior
440,dry,cloudy,Ruta-Centro
441,Icy,snow,Periferico-Sur
442,WET,Snow,Route-1
443,wet,Clear,Highway-57
444,muddy,Windy,Ruta-Litoral
445,ICY,Windy,MX-85
446,ICY,storm,Ruta-Centro
447,dry,Cloudy,Route-1
448,icy,Windy,Highway-85
449,DRY,Cloudy,Autopista-1
450,icy,fog,Autopista-1
451,Wet,storm,Route-1
452,WET,snow,Autopista-1
453,Muddy,clear,Highway-57
454,muddy,fog,Ruta-Centro
455,muddy,windy,Route-3
456,muddy,sunny,MX-40
457,DRY,Sunny,Ruta-Litoral
458,Icy,Clear,Periferico-Sur
459,wet,Storm,Autopista-2
460,muddy,Storm,Corredor-Industrial
461,Dry,fog,Carretera-45
462,Muddy,Storm,Route-2
463,DRY,Storm,Bypass-Norte
464,muddy,sunny,Route-3
465,wet,fog,MX-85
466,Muddy,Cloudy,MX-85
467,DRY,Clear,Autopista-1
468,DRY,Fog,Highway-57
469,ICY,Windy,Periferico-Sur
470,dry,rain,Periferico-Sur
471,wet,clear,Route-1
472,Muddy,sunny,Ruta-Del-Sol
473,DRY,Fog,Carretera-45
474,Dry,Fog,Viaducto-Oriental
475,wet,snow,Route-2
476,WET,cloudy,Ring-Road
477,ICY,storm,Ruta-Del-Sol
478,wet,Sunny,Viaducto-Oriental
479,Icy,Windy,Circuito-Interior
480,Wet,clear,Corredor-Industrial
481,WET,Clear,Highway-85
482,Dry,Sunny,Route-2
483,Icy,Windy,Autopista-1
484,ICY,cloudy,MX-40
485,icy,windy,Highway-85
486,Wet,Clear,Periferico-Sur
487,DRY,storm,Circuito-Interior
488,Icy,storm,Periferico-Sur
489,Icy,clear,Periferico-Sur
490,icy,Snow,Periferico-Sur
491,Muddy,Windy,Corredor-Industrial
492,dry,Storm,Viaducto-Oriental
493,muddy,windy,Ring-Road
494,DRY,Sunny,Route-1
495,wet,Sunny,MX-85
496,ICY,Windy,Corredor-Industrial
497,ICY,clear,Autopista-1
498,Icy,windy,Highway-85
499,Dry,cloudy,MX-85
500,ICY,fog,Viaducto-Oriental
501,Muddy,clear,Autopista-1
502,dry,Storm,Corredor-Industrial
503,wet,cloudy,Autopista-1
504,ICY,Snow,Corredor-Industrial
505,DRY,rain,Autopista-2
506,ICY,clear,Carretera-45
507,ICY,Cloudy,Highway-57
508,dry,storm,Periferico-Sur
509,Muddy,Windy,Periferico-Sur
510,Dry,snow,Route-1
511,DRY,clear,Route-1
512,Icy,Windy,Highway-85
513,wet,Fog,Highway-57
514,DRY,rain,Viaducto-Oriental
515,WET,Storm,Highway-85
516,Icy,Cloudy,Ruta-Litoral
517,ICY,Storm,Autopista-2
518,WET,clear,Ruta-Litoral
519,Muddy,Sunny,Viaducto-Oriental
520,Muddy,cloudy,Highway-85
521,Wet,clear,Route-3
522,DRY,Fog,Route-2
523,Dry,Sunny,Bypass-Norte
524,Muddy,sunny,Route-1
525,Wet,Storm,Highway-85
526,Wet,Sunny,Ring-Road
527,wet,Fog,Circuito-Interior
528,Wet,sunny,Ruta-Del-Sol
529,dry,Cloudy,Ring-Road
530,Wet,Rain,Route-3
531,Muddy,sunny,Highway-85
532,dry,Storm,Periferico-Sur
533,icy,Clear,Ruta-Litoral
534,muddy,Windy,Route-3
535,Muddy,Rain,MX-40
536,muddy,Storm,Autopista-1
537,Icy,Storm,Route-2
538,dry,clear,Ruta-Centro
539,DRY,Rain,Route-3
540,Wet,Sunny,Autopista-2
541,dry,sunny,Route-1
542,dry,cloudy,Autopista-2
543,WET,cloudy,Corredor-Industrial
544,DRY,fog,Viaducto-Oriental
545,Dry,Cloudy,Route-2
546,icy,snow,MX-85
547,Icy,Sunny,Carretera-45
548,dry,rain,Carretera-45
549,Dry,Rain,Route-3
550,wet,Fog,Route-1
551,icy,windy,Circuito-Interior
552,ICY,clear,Route-1
553,ICY,snow,Periferico-Sur
554,Wet,windy,Ring-Road
555,DRY,cloudy,Circuito-Interior
556,icy,Cloudy,Highway-85
557,Dry,fog,Viaducto-Oriental
558,Icy,storm,Ruta-Centro
559,icy,snow,MX-40
560,wet,Sunny,Circuito-Interior
561,wet,Clear,MX-85
562,WET,Windy,Circuito-Interior
563,Icy,fog,Autopista-2
564,wet,Sunny,Autopista-1
565,Wet,Rain,Bypass-Norte
566,Muddy,Sunny,Route-3
567,Wet,rain,Autopista-2
568,DRY,Rain,Ring-Road
569,icy,fog,Carretera-45
570,muddy,Storm,Ruta-Del-Sol
571,Dry,Storm,Ruta-Litoral
572,dry,Cloudy,Viaducto-Oriental
573,wet,fog,MX-40
574,wet,rain,Highway-57
575,Dry,Sunny,Ruta-Centro
576,Muddy,fog,Ruta-Centro
577,DRY,Storm,Bypass-Norte
578,DRY,clear,Highway-57
579,Wet,Cloudy,Periferico-Sur
580,WET,cloudy,Circuito-Interior
581,WET,rain,Route-2
582,Wet,Windy,Ruta-Del-Sol
583,ICY,clear,Viaducto-Oriental
584,Icy,storm,Circuito-Interior
585,wet,Windy,Ruta-Litoral
586,Muddy,Rain,Autopista-2
587,ICY,windy,Ruta-Del-Sol
588,Muddy,Sunny,Highway-85
589,ICY,Cloudy,Autopista-1
590,muddy,windy,Ruta-Litoral
591,Dry,sunny,MX-40
592,ICY,storm,Carretera-45
593,ICY,Rain,Ruta-Centro
594,Dry,Sunny,Route-3
595,DRY,Cloudy,Autopista-2
596,WET,rain,Route-2
597,ICY,storm,Ruta-Del-Sol
598,Icy,fog,Autopista-2
599,Wet,Cloudy,Autopista-2
600,wet,Rain,Ruta-Centro
601,Wet,snow,Ruta-Del-Sol
602,WET,cloudy,Circuito-Interior
603,wet,clear,Viaducto-Oriental
604,DRY,clear,Route-2
605,ICY,cloudy,Route-3
606,Wet,Clear,Route-3
607,dry,Rain,Carretera-45
608,icy,Storm,Periferico-Sur
609,Muddy,windy,Ruta-Litoral
610,Icy,cloudy,Ring-Road
611,DRY,Fog,Route-2
612,muddy,storm,Highway-85
613,DRY,Storm,Highway-85
614,wet,fog,Route-3
615,ICY,sunny,Periferico-Sur
616,DRY,clear,Highway-85
617,Muddy,Rain,Circuito-Interior
618,muddy,Storm,Viaducto-Oriental
619,ICY,Clear,Route-1
620,Muddy,Clear,Bypass-Norte
621,dry,Cloudy,Corredor-Industrial
622,Muddy,Fog,Ruta-Centro
623,DRY,fog,Route-2
624,Muddy,storm,Circuito-Interior
625,ICY,windy,Corredor-Industrial
626,WET,Clear,Autopista-1
627,wet,Fog,Viaducto-Oriental
628,ICY,storm,Bypass-Norte
629,DRY,sunny,MX-85
630,Muddy,sunny,Ruta-Del-Sol
631,wet,sunny,Ruta-Litoral
632,Wet,Cloudy,Autopista-2
633,icy,Sunny,Autopista-1
