accident_key,date_key,location_key,vehicle_key,driver_key,number_of_vehicles,number_of_fatalities,accident_severity
101,101,101,101,101,7,3,Serious
102,102,102,102,102,4,5,SERIOUS
103,103,103,103,103,5,12,Minor
104,104,104,104,104,7,1,CRITICAL
105,105,105,105,105,3,3,critical
106,106,106,106,106,8,2,Serious
107,107,107,107,107,5,4,SERIOUS
108,108,108,108,108,5,3,minor
109,109,109,109,109,7,2,Critical
110,110,110,110,110,2,0,CRITICAL
111,111,111,111,111,3,5,critical
112,112,112,112,112,7,0,Serious
113,113,113,113,113,3,2,serious
114,114,114,114,114,3,1,critical
115,115,115,115,115,8,5,MINOR
116,116,116,116,116,5,4,minor
117,117,117,117,117,4,1,serious
118,118,118,118,118,8,4,Minor
119,119,119,119,119,8,1,Serious
120,120,120,120,120,3,4,CRITICAL
121,121,121,121,121,6,5,critical
122,122,122,122,122,5,5,CRITICAL
123,123,123,123,123,2,1,Minor
124,124,124,124,124,8,3,critical
125,125,125,125,125,4,2,critical
126,126,126,126,126,6,5,CRITICAL
127,127,127,127,127,6,3,Serious
128,128,128,128,128,2,5,Serious
129,129,129,129,129,8,4,critical
130,130,130,130,130,4,3,SERIOUS
131,131,131,131,131,5,1,serious
132,132,132,132,132,1,4,serious
133,133,133,133,133,4,1,MINOR
134,134,134,134,134,2,1,critical
135,135,135,135,135,6,4,minor
136,136,136,136,136,5,5,Serious
137,137,137,137,137,4,0,MINOR
138,138,138,138,138,1,3,Minor
139,139,139,139,139,1,5,SERIOUS
140,140,140,140,140,3,3,SERIOUS
141,141,141,141,141,3,1,Minor
142,142,142,142,142,7,3,Minor
143,143,143,143,143,2,4,serious
144,144,144,144,144,8,4,Minor
145,145,145,145,145,4,16,minor
146,146,146,146,146,4,3,Minor
147,147,147,147,147,8,3,serious
148,148,148,148,148,7,2,critical
149,149,149,149,149,6,4,serious
150,150,150,150,150,6,4,Serious
151,151,151,151,151,7,5,CRITICAL
152,152,152,152,152,6,4,serious
153,153,153,153,153,3,19,Minor
154,154,154,154,154,4,1,minor
