incident_id,incident_date,driver_age,road_conditions,weather_conditions,accident_severity,number_of_vehicles,number_of_fatalities
101,2024-08-02,85.0,Wet,snow,Serious,7,3
102,2022-07-18,53.0,Dry,Windy,SERIOUS,4,5
103,10-13-2021,,dry,Clear,Minor,5,12
104,28/06/2021,34.0,Dry,windy,CRITICAL,7,1
105,2021-07-11,23.0,DRY,Clear,critical,3,3
106,11-01-2023,42.0,ICY,Fog,Serious,8,2
107,07/12/2024,,dry,Snow,SERIOUS,5,4
108,04-21-2024,61.0,Wet,sunny,minor,5,3
109,23/11/2021,43.0,WET,Clear,Critical,7,2
110,2021-11-15,34.0,DRY,Fog,CRITICAL,2,0
111,2022-11-21,,wet,Rain,critical,3,5
112,2023-02-18,62.0,Wet,Fog,Serious,7,0
113,12-06-2022,33.0,WET,Storm,serious,3,2
114,2024-01-04,71.0,Icy,Storm,critical,3,1
115,2023-02-15,20.0,DRY,clear,MINOR,8,5
116,08-24-2022,,ICY,cloudy,minor,5,4
117,2024-03-28,55.0,Dry,Clear,serious,4,1
118,2021-05-23,,ICY,snow,Minor,8,4
119,04-12-2022,42.0,Dry,windy,Serious,8,1
120,07-26-2021,83.0,ICY,snow,CRITICAL,3,4
121,30/11/2021,83.0,Wet,rain,critical,6,5
122,07/01/2022,69.0,muddy,Windy,CRITICAL,5,5
123,2024-07-24,18.0,icy,Snow,Minor,2,1
124,2022-05-17,,WET,sunny,critical,8,3
125,02-17-2023,,Wet,Cloudy,critical,4,2
126,03-26-2022,83.0,Icy,Clear,CRITICAL,6,5
127,04/15/2022,85.0,Muddy,Snow,Serious,6,3
128,2021-05-16,55.0,Dry,Snow,Serious,2,5
129,07/03/2024,39.0,Wet,Rain,critical,8,4
130,09/04/2024,,icy,Cloudy,SERIOUS,4,3
131,20/10/2021,36.0,Dry,Windy,serious,5,1
132,02/24/2024,35.0,WET,Rain,serious,1,4
133,10/04/2024,49.0,Wet,snow,MINOR,4,1
134,11/10/2021,32.0,dry,fog,critical,2,1
135,07/04/2021,,ICY,storm,minor,6,4
136,24/11/2021,65.0,Dry,Rain,Serious,5,5
137,05/11/2021,51.0,DRY,Snow,MINOR,4,0
138,05/30/2022,55.0,WET,Windy,Minor,1,3
139,08/23/2021,19.0,Wet,Rain,SERIOUS,1,5
140,05/08/2024,53.0,dry,windy,SERIOUS,3,3
141,11-20-2021,,Dry,clear,Minor,3,1
142,06/24/2022,31.0,WET,Rain,Minor,7,3
143,06/08/2021,50.0,dry,snow,serious,2,4
144,01/08/2024,44.0,icy,Clear,Minor,8,4
145,02-05-2023,52.0,Wet,fog,minor,4,16
146,12/23/2023,,Dry,Cloudy,Minor,4,3
147,08-18-2021,68.0,wet,cloudy,serious,8,3
148,2022-09-22,,icy,fog,critical,7,2
149,05/09/2022,,ICY,sunny,serious,6,4
150,09/23/2023,79.0,wet,Fog,Serious,6,4
151,2021-09-15,,WET,Cloudy,CRITICAL,7,5
152,01/09/2023,,wet,windy,serious,6,4
153,17/12/2023,,dry,Cloudy,Minor,3,19
154,03-10-2022,80.0,DRY,sunny,minor,4,1
155,12/31/2024,54.0,Icy,sunny,CRITICAL,7,4
156,06/17/2023,,Wet,Clear,Critical,4,1
157,05/12/2021,,dry,windy,Critical,8,4
158,2022-03-28,,Dry,Storm,Serious,1,3
159,20/12/2024,26.0,Dry,cloudy,CRITICAL,3,2
160,06/03/2021,,Muddy,snow,Minor,5,3
161,05/03/2022,69.0,DRY,snow,minor,3,0
162,15/03/2024,,Icy,Windy,MINOR,7,1
163,27/08/2023,19.0,icy,sunny,MINOR,5,2
164,18/07/2021,20.0,ICY,sunny,Critical,1,4
165,04-22-2023,,ICY,Sunny,Minor,7,10
166,2024-08-16,,muddy,fog,minor,2,5
167,04/05/2023,34.0,icy,clear,CRITICAL,4,2
168,2022-01-28,,WET,Clear,critical,1,3
169,2023-07-08,,DRY,Clear,CRITICAL,4,3
170,11/01/2022,,DRY,Cloudy,CRITICAL,6,4
171,06/04/2021,121.0,Muddy,Storm,MINOR,2,4
172,04/14/2021,61.0,wet,sunny,serious,2,1
173,07/11/2021,35.0,WET,Storm,Minor,1,2
174,09-22-2023,74.0,Dry,Fog,SERIOUS,2,2
175,12/04/2021,79.0,dry,cloudy,CRITICAL,5,4
176,07-21-2023,,Wet,Storm,CRITICAL,2,0
