accident_key,incident_id,incident_date,day_of_week,month,year,quarter,driver_age,driver_gender,road_conditions,weather_conditions,vehicle_type,vehicle_make,vehicle_model,accident_severity,number_of_vehicles,number_of_fatalities,is_weekend,season,age_group
101,101,2024-08-02,Friday,8.0,2024.0,3.0,85.0,Male,Wet,snow,Sedan,Ford,Model B,Serious,7,3,False,Summer,Elderly
102,102,2022-07-18,Monday,7.0,2022.0,3.0,53.0,Female,Dry,Windy,Pickup,BMW,Model B,SERIOUS,4,5,False,Summer,Senior
103,103,10-13-2021,,,,,,Other,dry,Clear,SUV,Volkswagen,Model C,Minor,5,12,False,,
104,104,28/06/2021,,,,,34.0,Other,Dry,windy,Truck,Honda,Model D,CRITICAL,7,1,False,,Adult
105,105,2021-07-11,Sunday,7.0,2021.0,3.0,23.0,Male,DRY,Clear,Car,Nissan,Model D,critical,3,3,True,Summer,Young
106,106,11-01-2023,,,,,42.0,Male,ICY,Fog,Car,Honda,Model E,Serious,8,2,False,,Middle-aged
107,107,07/12/2024,,,,,,Male,dry,Snow,Van,Toyota,Model H,SERIOUS,5,4,False,,
108,108,04-21-2024,,,,,61.0,Other,Wet,sunny,Sedan,Ford,Model H,minor,5,3,False,,Senior
109,109,23/11/2021,,,,,43.0,Other,WET,Clear,Van,BMW,Model B,Critical,7,2,False,,Middle-aged
110,110,2021-11-15,Monday,11.0,2021.0,4.0,34.0,Female,DRY,Fog,Car,Ford,Model C,CRITICAL,2,0,False,Fall,Adult
111,111,2022-11-21,Monday,11.0,2022.0,4.0,,Male,wet,Rain,Bus,Nissan,Model A,critical,3,5,False,Fall,
112,112,2023-02-18,Saturday,2.0,2023.0,1.0,62.0,Other,Wet,Fog,Motorcycle,Audi,Model H,Serious,7,0,True,Winter,Senior
113,113,12-06-2022,,,,,33.0,Male,WET,Storm,Van,Ford,Model D,serious,3,2,False,,Adult
114,114,2024-01-04,Thursday,1.0,2024.0,1.0,71.0,Other,Icy,Storm,Van,Chevrolet,Model C,critical,3,1,False,Winter,Elderly
115,115,2023-02-15,Wednesday,2.0,2023.0,1.0,20.0,Male,DRY,clear,Bus,BMW,Model H,MINOR,8,5,False,Winter,Young
116,116,08-24-2022,,,,,,Other,ICY,cloudy,Truck,Nissan,Model C,minor,5,4,False,,
117,117,2024-03-28,Thursday,3.0,2024.0,1.0,55.0,Male,Dry,Clear,Sedan,Toyota,Model H,serious,4,1,False,Spring,Senior
118,118,2021-05-23,Sunday,5.0,2021.0,2.0,,Male,ICY,snow,Bus,Volkswagen,Model G,Minor,8,4,True,Spring,
119,119,04-12-2022,,,,,42.0,Male,Dry,windy,Car,Volkswagen,Model H,Serious,8,1,False,,Middle-aged
120,120,07-26-2021,,,,,83.0,Female,ICY,snow,Sedan,Mercedes,Model F,CRITICAL,3,4,False,,Elderly
121,121,30/11/2021,,,,,83.0,Male,Wet,rain,Motorcycle,Nissan,Model D,critical,6,5,False,,Elderly
122,122,07/01/2022,,,,,69.0,Female,muddy,Windy,Pickup,Toyota,Model H,CRITICAL,5,5,False,,Elderly
123,123,2024-07-24,Wednesday,7.0,2024.0,3.0,18.0,Female,icy,Snow,SUV,Toyota,Model H,Minor,2,1,False,Summer,Young
124,124,2022-05-17,Tuesday,5.0,2022.0,2.0,,Female,WET,sunny,Motorcycle,Audi,Model D,critical,8,3,False,Spring,
125,125,02-17-2023,,,,,,Female,Wet,Cloudy,SUV,BMW,Model D,critical,4,2,False,,
126,126,03-26-2022,,,,,83.0,Female,Icy,Clear,Truck,Hyundai,Model H,CRITICAL,6,5,False,,Elderly
127,127,04/15/2022,,,,,85.0,Female,Muddy,Snow,Van,Toyota,Model B,Serious,6,3,False,,Elderly
128,128,2021-05-16,Sunday,5.0,2021.0,2.0,55.0,Other,Dry,Snow,Car,Mercedes,Model F,Serious,2,5,True,Spring,Senior
129,129,07/03/2024,,,,,39.0,Female,Wet,Rain,Motorcycle,Chevrolet,Model E,critical,8,4,False,,Middle-aged
130,130,09/04/2024,,,,,,Female,icy,Cloudy,Pickup,BMW,Model F,SERIOUS,4,3,False,,
131,131,20/10/2021,,,,,36.0,Other,Dry,Windy,SUV,Nissan,Model G,serious,5,1,False,,Middle-aged
132,132,02/24/2024,,,,,35.0,Other,WET,Rain,Pickup,Toyota,Model G,serious,1,4,False,,Adult
133,133,10/04/2024,,,,,49.0,Female,Wet,snow,Van,Nissan,Model A,MINOR,4,1,False,,Middle-aged
134,134,11/10/2021,,,,,32.0,Female,dry,fog,Motorcycle,Honda,Model C,critical,2,1,False,,Adult
135,135,07/04/2021,,,,,,Female,ICY,storm,Bus,Toyota,Model H,minor,6,4,False,,
